"DisplayName","Status","ServiceName"
"Remote Desktop Services","Stopped","TermService"
"Remote Desktop Services UserMode Port Redirector","Stopped","UmRdpService"
"Remote Procedure Call (RPC) Locator","Stopped","RpcLocator"
"Remote Registry","Stopped","RemoteRegistry"
"Retail Demo Service","Stopped","RetailDemo"
"Routing and Remote Access","Stopped","RemoteAccess"
"Secondary Logon","Stopped","seclogon"
"Secure Socket Tunneling Protocol Service","Stopped","SstpSvc"
"Sensor Data Service","Stopped","SensorDataService"
"Sensor Monitoring Service","Stopped","SensrSvc"
"Sensor Service","Stopped","SensorService"
"Shared PC Account Manager","Stopped","shpamsvc"
"Smart Card","Stopped","SCardSvr"
"Smart Card Device Enumeration Service","Stopped","ScDeviceEnum"
"Smart Card Removal Policy","Stopped","SCPolicySvc"
"SNMP Trap","Stopped","SNMPTRAP"
"Software Protection","Stopped","sppsvc"
"Spatial Data Service","Stopped","SharedRealitySvc"
"Spot Verifier","Stopped","svsvc"
"Still Image Acquisition Events","Stopped","WiaRpc"
"Storage Tiers Management","Stopped","TieringEngineService"
"Telephony","Stopped","TapiSrv"
"UPnP Device Host","Stopped","upnphost"
"User Data Access_8724ab","Stopped","UserDataSvc_8724ab"
"User Data Storage_8724ab","Stopped","UnistoreSvc_8724ab"
"User Experience Virtualization Service","Stopped","UevAgentService"
"Virtual Disk","Stopped","vds"
"VMware Snapshot Provider","Stopped","vmvss"
"Volume Shadow Copy","Stopped","VSS"
"Volumetric Audio Compositor Service","Stopped","VacSvc"
"WalletService","Stopped","WalletService"
"WarpJITSvc","Stopped","WarpJITSvc"
"WebClient","Stopped","WebClient"
"Wi-Fi Direct Services Connection Manager Service","Stopped","WFDSConMgrSvc"
"Windows Backup","Stopped","SDRSVC"
"Windows Biometric Service","Stopped","WbioSrvc"
"Windows Camera Frame Server","Stopped","FrameServer"
"Windows Connect Now - Config Registrar","Stopped","wcncsvc"
"Windows Defender Advanced Threat Protection Service","Stopped","Sense"
"Windows Encryption Provider Host Service","Stopped","WEPHOSTSVC"
"Windows Error Reporting Service","Stopped","WerSvc"
"Windows Event Collector","Stopped","Wecsvc"
"Windows Image Acquisition (WIA)","Stopped","stisvc"
"Windows Insider Service","Stopped","wisvc"
"Windows Installer","Stopped","msiserver"
"Windows Management Service","Stopped","WManSvc"
"Windows Media Player Network Sharing Service","Stopped","WMPNetworkSvc"
"Windows Mobile Hotspot Service","Stopped","icssvc"
"Windows Modules Installer","Stopped","TrustedInstaller"
"Windows Perception Service","Stopped","spectrum"
"Windows Perception Simulation Service","Stopped","perceptionsimulation"
"Windows PushToInstall Service","Stopped","PushToInstall"
"Windows Remote Management (WS-Management)","Stopped","WinRM"
"Windows Search","Stopped","WSearch"
"Windows Time","Stopped","W32Time"
"Windows Update","Stopped","wuauserv"
"Windows Update Medic Service","Stopped","WaaSMedicSvc"
"Wired AutoConfig","Stopped","dot3svc"
"WLAN AutoConfig","Stopped","WlanSvc"
"WMI Performance Adapter","Stopped","wmiApSrv"
"Work Folders","Stopped","workfolderssvc"
"WWAN AutoConfig","Stopped","WwanSvc"
"Xbox Accessory Management Service","Stopped","XboxGipSvc"
"Xbox Live Auth Manager","Stopped","XblAuthManager"
"Xbox Live Game Save","Stopped","XblGameSave"
"Xbox Live Networking Service","Stopped","XboxNetApiSvc"
